Date,Price,Open,High,Low,Vol.,Change %
07/01/2018,79.31,77.50,79.62,77.42,27.19M,1.60%
06/24/2018,78.06,77.28,78.71,77.18,42.13M,0.81%
06/17/2018,77.43,76.86,77.63,75.39,43.01M,0.06%
06/10/2018,77.38,76.97,77.89,75.70,49.70M,0.26%
06/03/2018,77.18,73.54,77.21,73.45,49.76M,5.08%
05/27/2018,73.45,74.06,75.01,72.80,39.77M,-1.16%
05/20/2018,74.31,73.75,74.94,73.42,34.82M,1.17%
05/13/2018,73.45,73.78,74.07,72.60,43.57M,0.11%
05/06/2018,73.37,72.67,74.10,71.11,37.45M,1.30%
04/29/2018,72.43,72.91,72.92,70.73,49.51M,-0.52%
04/22/2018,72.81,73.59,73.98,71.95,63.76M,-1.34%
04/15/2018,73.80,78.56,78.94,73.74,50.84M,-5.83%
04/08/2018,78.37,78.80,78.85,77.57,38.48M,-0.08%
04/01/2018,78.43,79.26,79.52,77.06,49.15M,-1.07%
03/25/2018,79.28,76.57,80.49,76.02,47.12M,4.44%
03/18/2018,75.91,78.97,79.57,75.81,48.87M,-3.87%
03/11/2018,78.97,80.23,80.62,78.54,50.41M,-1.64%
03/04/2018,80.29,79.28,80.75,78.90,41.97M,0.99%
02/25/2018,79.50,81.45,82.00,77.90,58.03M,-1.91%
02/18/2018,81.05,82.19,82.22,80.17,36.82M,-1.88%
02/11/2018,82.60,80.61,83.25,80.27,48.74M,3.35%
02/04/2018,79.92,83.99,84.37,78.59,82.70M,-5.14%
01/28/2018,84.25,87.69,87.74,84.21,54.60M,-3.97%
01/21/2018,87.73,90.88,91.92,87.23,65.32M,-3.67%
01/14/2018,91.07,90.14,91.73,89.64,34.87M,1.63%
01/07/2018,89.61,90.93,91.77,89.35,31.64M,-1.79%
12/31/2017,91.24,91.92,91.93,90.51,25.69M,-0.70%
12/24/2017,91.88,92.35,92.77,91.88,15.06M,-0.27%
12/17/2017,92.13,91.98,93.14,91.35,29.77M,0.26%
12/10/2017,91.89,90.23,92.27,89.75,40.33M,1.68%
12/03/2017,90.37,90.17,91.91,89.58,37.58M,0.01%
11/26/2017,90.36,88.33,90.53,88.15,33.94M,2.16%
11/19/2017,88.45,88.43,89.21,87.71,19.33M,0.02%
11/12/2017,88.43,88.67,89.90,88.00,31.74M,0.31%
11/05/2017,88.16,86.55,88.39,85.42,31.48M,1.82%
10/29/2017,86.58,86.91,87.16,85.72,27.52M,-0.53%
10/22/2017,87.04,88.63,88.86,86.28,47.57M,-1.37%
10/15/2017,88.25,92.97,93.37,87.59,45.46M,-5.15%
10/08/2017,93.04,92.40,93.51,89.86,42.33M,0.77%
10/01/2017,92.33,91.26,92.79,91.24,31.51M,1.48%
09/24/2017,90.98,92.43,93.09,90.34,32.59M,-1.37%
09/17/2017,92.24,93.17,94.67,92.08,34.92M,-1.10%
09/10/2017,93.27,93.09,94.19,92.82,39.27M,0.46%
09/03/2017,92.84,92.18,93.36,92.04,27.08M,0.34%
08/27/2017,92.53,92.52,92.71,91.66,24.60M,0.02%
08/20/2017,92.51,92.38,92.96,92.04,22.80M,0.04%
08/13/2017,92.47,91.54,92.95,91.25,31.18M,1.24%
08/06/2017,91.34,90.67,92.08,90.52,29.64M,0.74%
07/30/2017,90.67,90.21,91.75,90.21,35.90M,0.51%
07/23/2017,90.21,88.55,91.00,87.97,37.18M,1.81%
07/16/2017,88.61,87.07,89.31,86.74,31.73M,1.73%
07/09/2017,87.10,87.63,87.87,86.31,25.60M,-0.63%
07/02/2017,87.65,87.40,88.00,87.18,19.76M,0.57%
06/25/2017,87.15,89.63,89.68,86.93,28.62M,-2.54%
06/18/2017,89.42,89.60,90.21,88.90,28.40M,-0.27%
06/11/2017,89.66,88.28,89.77,87.77,41.37M,1.70%
06/04/2017,88.16,88.30,88.97,87.36,32.81M,-0.49%
05/28/2017,88.59,87.25,88.68,87.10,27.13M,1.54%
05/21/2017,87.25,86.25,87.38,85.98,22.26M,1.17%
05/14/2017,86.24,86.65,87.00,85.52,34.49M,0.06%
05/07/2017,86.19,86.33,86.82,85.88,32.35M,-0.36%
04/30/2017,86.50,87.38,87.60,85.90,34.36M,-0.95%
04/23/2017,87.33,89.12,90.25,87.15,46.19M,-1.46%
